number;name
01.00.00;МАТЕМАТИКА И МЕХАНИКА
01.05.01;Фундаментальные математика и механика  Математик. Механик. Преподаватель
03.00.00;ФИЗИКА И АСТРОНОМИЯ
03.05.01;Астрономия Астроном. Преподаватель
04.00.00;ХИМИЯ
04.05.01;Фундаментальная и прикладная химия Химик. Преподаватель химии.
05.00.00;НАУКИ О ЗЕМЛЕ
05.05.01;Метеорология специального назначения
05.05.02;Военная картография
06.00.00;БИОЛОГИЧЕСКИЕ НАУКИ
06.05.01;Биоинженерия и биоинформатика Биоинженер и биоинформатик  ИНЖЕНЕРНОЕ ДЕЛО, ТЕХНОЛОГИИ И ТЕХНИЧЕСКИЕ НАУКИ
08.00.00;ТЕХНИКА И ТЕХНОЛОГИИ СТРОИТЕЛЬСТВА
08.05.01;Строительство уникальных зданий и сооружений  Инженер-строитель
08.05.02;Строительство, эксплуатация, восстановление и техническое прикрытие автомобильных дорог, мостов и тоннелей  Инженер
09.00.00;Информатика и вычислительная техника
09.05.01;Применение и эксплуатация автоматизированных систем специального назначения
10.00.00;ИНФОРМАЦИОННАЯ БЕЗОПАСНОСТЬ
10.05.01;Компьютерная безопасность Специалист по защите информации
10.05.02;Информационная безопасность телекоммуникационных систем  Специалист по защите информации
10.05.03;Информационная безопасность автоматизированных систем  Специалист по защите информации
10.05.04;Информационно-аналитические системы безопасности  Специалист по защите информации
10.05.05;Безопасность информационных технологий в правоохранительной сфере  Специалист по защите информации
10.05.06;Криптография
10.05.07;Противодействие техническим разведкам
11.00.00;ЭЛЕКТРОНИКА, РАДИОТЕХНИКА И СИСТЕМЫ СВЯЗИ
11.05.01;Радиоэлектронные системы и комплексы Инженер
11.05.02;Специальные радиотехнические системы Инженер специальных радиотехнических систем
11.05.03;Применение и эксплуатация средств и систем специального мониторинга
11.05.04;Инфокоммуникационные технологии системы специальной связи
12.00.00;ФОТОНИКА, ПРИБОРОСТРОЕНИЕ, ОПТИЧЕСКИЕ И БИОТЕХНИЧЕСКИЕ СИСТЕМЫ И ТЕХНОЛОГИИ
12.05.01;Электронные и оптико-электронные приборы и системы специального назначения  Инженер
13.00.00;Электро- и теплоэнергетика
13.05.01;Тепло- и электрообеспечение специальных технических систем и объектов
13.05.02;Специальные электромеханические системы
14.00.00;ЯДЕРНАЯ ЭНЕРГЕТИКА И ТЕХНОЛОГИИ
14.05.01;Ядерные реакторы и материалы Инженер-физик
14.05.02;Атомные станции: проектирование, эксплуатация и инжиниринг  Инженер-физик
14.05.03;Технологии разделения изотопов и ядерное топливо  Инженер-физик
14.05.04;Электроника и автоматика физических установок
15.00.00;МАШИНОСТРОЕНИЕ
15.05.01;Проектирование технологических машин и комплексов  Инженер
16.00.00;ФИЗИКО-ТЕХНИЧЕСКИЕ НАУКИ И ТЕХНОЛОГИИ
16.05.01;Специальные системы жизнеобеспечения Инженер по эксплуатации специальных систем жизнеобеспечения
17.00.00;ОРУЖИЕ И СИСТЕМЫ ВООРУЖЕНИЯ
17.05.01;Боеприпасы и взрыватели Инженер
17.05.02;Стрелково-пушечное, артиллерийское и ракетное оружие  Инженер
17.05.03;Проектирование, производство и испытание корабельного вооружения и информационно-управляющих систем  Инженер
17.05.04;Технологии веществ и материалов в вооружении и военной технике
18.00.00;ХИМИЧЕСКИЕ ТЕХНОЛОГИИ
18.05.01;Химическая технология Инженер энергонасыщенных материалов и изделий
18.05.02;Химическая технология материалов современной энергетики  Инженер
20.00.00;ТЕХНОСФЕРНАЯ БЕЗОПАСНОСТЬ И ПРИРОДООБУСТРОЙСТВО
20.05.01;Пожарная безопасность Специалист
21.00.00;ПРИКЛАДНАЯ ГЕОЛОГИЯ, ГОРНОЕ ДЕЛО, НЕФТЕГАЗОВОЕ ДЕЛО И ГЕОДЕЗИЯ
21.05.01;Прикладная геодезия Инженер-геодезист
21.05.02;Прикладная геология Горный инженергеолог
21.05.03;Технология геологической разведки Горный инженергеофизик Горный инженербуровик
21.05.04;Горное дело Горный инженер (специалист)
21.05.05;Физические процессы горного или нефтегазового производства  Горный инженер (специалист)
21.05.06;Нефтегазовые техника и технологии Горный инженер (специалист)
23.00.00;ТЕХНИКА И ТЕХНОЛОГИИ НАЗЕМНОГО ТРАНСПОРТА
23.05.01;Наземные транспортно-технологические средства  Инженер
23.05.02;Транспортные средства специального назначения  Инженер
23.05.03;Подвижной состав железных дорог Инженер путей сообщения
23.05.04;Эксплуатация железных дорог Инженер путей сообщения
23.05.05;Системы обеспечения движения поездов Инженер путей сообщения
23.05.06;Строительство железных дорог, мостов и транспортных тоннелей  Инженер путей сообщения
24.00.00;АВИАЦИОННАЯ И РАКЕТНОКОСМИЧЕСКАЯ ТЕХНИКА
24.05.01;Проектирование, производство и эксплуатация ракет и ракетнокосмических комплексов  Инженер
24.05.02;Проектирование авиационных и ракетных двигателей  Инженер
24.05.03;Испытание летательных аппаратов Инженер
24.05.04;Навигационно-баллистическое обеспечение применения космической техники  Инженер-баллистик
24.05.05;Интегрированные системы летательных аппаратов  Инженер
24.05.06;Системы управления летательными аппаратами  Инженер
24.05.07;Самолето- и вертолетостроение Инженер
25.00.00;АЭРОНАВИГАЦИЯ И ЭКСПЛУАТАЦИЯ АВИАЦИОННОЙ И РАКЕТНОКОСМИЧЕСКОЙ ТЕХНИКИ
