number;name
01.00.00;МАТЕМАТИКА И МЕХАНИКА
01.03.01;Математика
01.03.02;Прикладная математика и информатика
01.03.03;Механика и математическое моделирование
01.03.04;Прикладная математика
01.03.05;Статистика
02.00.00;КОМПЬЮТЕРНЫЕ И ИНФОРМАЦИОННЫЕ НАУКИ
02.03.01;Математика и компьютерные науки
02.03.02;Фундаментальная информатика и информационные технологии
02.03.03;Математическое обеспечение и администрирование информационных систем
03.00.00;ФИЗИКА И АСТРОНОМИЯ
03.03.01;Прикладные математика и физика
03.03.02;Физика
03.03.03;Радиофизика
04.00.00;ХИМИЯ
04.03.01;Химия
04.03.02;Химия, физика и механика материалов
05.00.00;НАУКИ О ЗЕМЛЕ
05.03.01;Геология
05.03.02;География
05.03.03;Картография и геоинформатика
05.03.04;Гидрометеорология
05.03.05;Прикладная гидрометеорология
05.03.06;Экология и природопользование
06.00.00;БИОЛОГИЧЕСКИЕ НАУКИ
06.03.01;Биология
06.03.02;Почвоведение
07.00.00;АРХИТЕКТУРА
07.03.01;Архитектура
07.03.02;Реконструкция и реставрация архитектурного наследия
07.03.03;Дизайн архитектурной среды
07.03.04;Градостроительство
08.00.00;ТЕХНИКА И ТЕХНОЛОГИИ СТРОИТЕЛЬСТВА
08.03.01;Строительство
09.00.00;ИНФОРМАТИКА И ВЫЧИСЛИТЕЛЬНАЯ ТЕХНИКА
09.03.01;Информатика и вычислительная техника
09.03.02;Информационные системы и технологии
09.03.03;Прикладная информатика
09.03.04;Программная инженерия
10.00.00;ИНФОРМАЦИОННАЯ БЕЗОПАСНОСТЬ
10.03.01;Информационная безопасность
11.00.00;ЭЛЕКТРОНИКА, РАДИОТЕХНИКА И СИСТЕМЫ СВЯЗИ
11.03.01;Радиотехника
11.03.02;Инфокоммуникационные технологии и системы связи
11.03.03;Конструирование и технология электронных средств
11.03.04;Электроника и наноэлектроника
12.00.00;ФОТОНИКА, ПРИБОРОСТРОЕНИЕ, ОПТИЧЕСКИЕ И БИОТЕХНИЧЕСКИЕ СИСТЕМЫ И ТЕХНОЛОГИИ
12.03.01;Приборостроение
12.03.02;Оптотехника
12.03.03;Фотоника и оптоинформатика
12.03.04;Биотехнические системы и технологии
12.03.05;Лазерная техника и лазерные технологии
13.00.00;ЭЛЕКТРО- И ТЕПЛОЭНЕРГЕТИКА
13.03.01;Теплоэнергетика и теплотехника
13.03.02;Электроэнергетика и электротехника
13.03.03;Энергетическое машиностроение
14.00.00;ЯДЕРНАЯ ЭНЕРГЕТИКА И ТЕХНОЛОГИИ
14.03.01;Ядерная энергетика и теплофизика
14.03.02;Ядерные физика и технологии
15.00.00;МАШИНОСТРОЕНИЕ
15.03.01;Машиностроение
15.03.02;Технологические машины и оборудование
15.03.03;Прикладная механика
15.03.04;Автоматизация технологических процессов и производств
15.03.05;Конструкторско-технологическое обеспечение машиностроительных производств
15.03.06;Мехатроника и робототехника
16.00.00;ФИЗИКО-ТЕХНИЧЕСКИЕ НАУКИ И ТЕХНОЛОГИИ
16.03.01;Техническая физика
16.03.02;Высокотехнологические плазменные и энергетические установки
16.03.03;Холодильная, криогенная техника и системы жизнеобеспечения
17.00.00;ОРУЖИЕ И СИСТЕМЫ ВООРУЖЕНИЯ
17.03.01;Корабельное вооружение
18.00.00;ХИМИЧЕСКИЕ ТЕХНОЛОГИИ
18.03.01;Химическая технология
18.03.02;Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии
19.00.00;ПРОМЫШЛЕННАЯ ЭКОЛОГИЯ И БИОТЕХНОЛОГИИ
19.03.01;Биотехнология
19.03.02;Продукты питания из растительного сырья
19.03.03;Продукты питания животного происхождения
19.03.04;Технология продукции и организация общественного питания
20.00.00;ТЕХНОСФЕРНАЯ БЕЗОПАСНОСТЬ И ПРИРОДООБУСТРОЙСТВО
20.03.01;Техносферная безопасность
20.03.02;Природообустройство и водопользование
21.00.00;ПРИКЛАДНАЯ ГЕОЛОГИЯ, ГОРНОЕ ДЕЛО, НЕФТЕГАЗОВОЕ ДЕЛО И ГЕОДЕЗИЯ
21.03.01;Нефтегазовое дело
21.03.02;Землеустройство и кадастры
21.03.03;Геодезия и дистанционное зондирование
22.00.00;ТЕХНОЛОГИИ МАТЕРИАЛОВ
22.03.01;Материаловедение и технологии
22.03.02;Металлургия
23.00.00;ТЕХНИКА И ТЕХНОЛОГИИ НАЗЕМНОГО ТРАНСПОРТА
23.03.01;Технология транспортных процессов
23.03.02;Наземные транспортнотехнологические комплексы
23.03.03;Эксплуатация транспортнотехнологических машин и комплексов
24.00.00;АВИАЦИОННАЯ И РАКЕТНОКОСМИЧЕСКАЯ ТЕХНИКА
24.03.01;Ракетные комплексы и космонавтика
24.03.02;Системы управления движением и навигация
24.03.03;Баллистика и гидроаэродинамика
24.03.04;Авиастроение
