name,surname
Абакум,Абакумович
Абрам,Абрамович
Абросим,Абросимович
Аввакум,Аввакумович
Август,Августович
Авдей,Авдеевич
Авдий,Авдиевич
Авенир,Авенирович
Аверий,Авериевич
Аверкий,Аверкиевич
Аверьян,Аверьянович
Авксентий,Авксентиевич
Аврам,Аврамович
Агап,Агапович
Агапий,Агапиевич
Агафон,Агафонович
Аггей,Аггеевич
Адам,Адамович
Адриан,Адрианович
Азар,Азарович
Азарий,Азариевич
Аким,Акимович
Акинф,Акинфович
Акинфий,Акинфиевич
Аксён,Аксёнович
Аксентий,Аксентиевич
Александр,Александрович
Алексей,Алексеевич
Альберт,Альбертович
Альфред,Альфредович
Амвросий,Амвросиевич
Амос,Амосович
Ананий,Ананиевич
Анастасий,Анастасиевич
Анатолий,Анатолиевич
Андрей,Андреевич
Андриан,Андрианович
Андрон,Андронович
Андроний,Андрониевич
Андроник,Андроникович
Аникей,Аникеевич
Аникий,Аникиевич
Анисий,Анисиевич
Анисим,Анисимович
Антип,Антипович
Антипий,Антипиевич
Антон,Антонович
Антонин,Антонинович
Антроп,Антропович
Антропий,Антропиевич
Ануфрий,Ануфриевич
Аполлинарий,Аполлинариевич
Аполлон,Аполлонович
Ардалион,Ардалионович
Ардальон,Ардальонович
Ареф,Арефович
Арефий,Арефиевич
Аристарх,Аристархович
Аркадий,Аркадиевич
Арнольд,Арнольдович
Арон,Аронович
Арсений,Арсениевич
Арсентий,Арсентиевич
Артамон,Артамонович
Артём,Артёмович
Артемий,Артемиевич
Артур,Артурович
Архип,Архипович
Аскольд,Аскольдович
Афанасий,Афанасиевич
Афиноген,Афиногенович
Бенедикт,Бенедиктович
Богдан,Богданович
Болеслав,Болеславович
Бонифат,Бонифатович
Бонифатий,Бонифатиевич
Борис,Борисович
Вавила,Вавилич
Вадим,Вадимович
Валентин,Валентинович
Валериан,Валерианович
Валерьян,Валерьянович
Валерий,Валериевич
Варлам,Варламович
Варламий,Варламиевич
Варсоноф,Варсонофович
Варсонофий,Варсонофиевич
Варфоломей,Варфоломеевич
Василий,Васильевич
Велимир,Велимирович
Венедикт,Венедиктович
Вениамин,Вениаминович
Веньямин,Веньяминович
Венцеслав,Венцеславович
Викентий,Викентиевич
Виктор,Викторович
Викторий,Викториевич
Викторин,Викторинович
Викул,Викулович
Викула,Викулич
Вилен,Виленович
Виленин,Виленинович
Вильгельм,Вильгельмович
Виссарион,Виссарионович
Виталий,Виталиевич
Витольд,Витольдович
Владилен,Владиленович
Владимир,Владимирович
Владислав,Владиславович
Владлен,Владленович
Влас,Власович
Власий,Власиевич
Вонифат,Вонифатович
Вонифатий,Вонифатиевич
Всеволод,Всеволодович
Вукол,Вуколович
Вячеслав,Вячеславович
Гавриил,Гавриилович
"Гаврил,",Гаврилович
Галактион,Галактионович
Гелий,Гелиевич
Геннадий,Геннадиевич
Генрих,Генрихович
Георгий,Георгиевич
Герасим,Герасимович
Герман,Германович
Гермоген,Гермогенович
Глеб,Глебович
Гордей,Гордеевич
Григорий,Григорьевич
Гурий,Гуриевич
Давид,Давидович
Давыд,Давыдович
Даниил,Даниилович
"Данил,",Данилович
Дементий,Дементиевич
Демид,Демидович
Демьян,Демьянович
Денис,Денисович
Денисий,Денисиевич
Димитрий,Димитриевич
Диомид,Диомидович
Дионисий,Дионисиевич
Дмитрий,Дмитриевич
Донат,Донатович
Доримедонт,Доримедонтович
Дормедонт,Дормедонтович
Дормидонт,Дормидонтович
Дорофей,Дорофеевич
Евгений,Евгениевич
Евграф,Евграфович
Евграфий,Евграфьевич
Евдоким,Евдокимович
Евлампий,Евлампиевич
Евмен,Евменович
Евмений,Евмениевич
Евсей,Евсеевич
Евстафий,Евстафиевич
Евстахий,Евстахиевич
Евстигней,Евстигнеевич
Евстрат,Евстратович
Евстратий,Евстратиевич
Евтихий,Евтихиевич
Евфимий,Евфимиевич
Егор,Егорович
Егорий,Егориевич
Елизар,Елизарович
Елисей,Елисеевич
Елистрат,Елистратович
Емельян,Емельянович
Епифан,Епифанович
Епифаний,Епифаниевич
Еремей,Еремеевич
Ермил,Ермилович
Ермила,Ермилич
Ермилий,Ермильевич
Ермолай,Ермолаевич
Ерофей,Ерофеевич
Ефим,Ефимович
Ефимий,Ефимиевич
Ефрем,Ефремович
Ефремий,Ефремиевич
Захар,Захарович
Захарий,Захариевич
Зенон,Зенонович
Зиновий,Зиновиевич
Зосим,Зосимович
Зосима,Зосимич
Иаким,Иакимович
Иакинф,Иакинфович
Иван,Иванович
Игнат,Игнатович
Игнатий,Игнатиевич
Игорь,Игоревич
Измаил,Измаилович
Изосим,Изосимович
Изот,Изотович
Иларион,Иларионович
Илиодор,Илиодорович
Илья,Ильич
Иннокентий,Иннокентиевич
Иоанн,Иоаннович
Иона,Ионич
Иосиф,Иосифович
Ипат,Ипатович
Ипатий,Ипатиевич
Ипполит,Ипполитович
Исаак,Исаакович
Исаакий,Исаакиевич
Исай,Исаевич
Исак,Исакович
Исакий,Исакиевич
Исидор,Исидорович
Иустин,Иустинович
Казимир,Казимирович
Каллиник,Каллиникович
Каллистрат,Каллистратович
Капитон,Капитонович
Карл,Карлович
Карп,Карпович
Касьян,Касьянович
Ким,Кимович
Киприан,Киприанович
Кириак,Кириакович
Кирьяк,Кирьякович
Кирсан,Кирсанович
Клавдий,Клавдиевич
Клим,Климович
Климент,Климентович
Климентий,Климентиевич
Кондрат,Кондратович
Кондратий,Кондратьевич
Конон,Кононович
Константин,Константинович
Корней,Корнеевич
Корнил,Корнилович
Корнилий,Корнилиевич
Ксенофонт,Ксенофонтович
Кузьма,Кузьмич
Куприян,Куприянович
Лавр,Лаврович
Лаврентий,Лаврентиевич
Лазарь,Лазаревич
Ларион,Ларионович
Лев,Львович
Леон,Леонович
Леонард,Леонардович
Леонид,Леонидович
Леонтий,Леонтиевич
Леопольд,Леопольдович
Логвин,Логвинович
Лука,Лукич
Лукьян,Лукьянович
Маврикий,Маврикиевич
Май,Маевич
Макар,Макарович
Макарий,Макариевич
Максим,Максимович
Максимиан,Максимианович
Максимилиан,Максимилианович
Максимильян,Максимильянович
Мануил,Мануилович
Марк,Маркович
Маркел,Маркелович
Марлен,Марленович
Мартимьян,Мартимьянович
Мартин,Мартинович
Мартиниан,Мартинианович
Мартын,Мартынович
Мартьян,Мартьянович
Матвей,Матвеевич
Мелентий,Мелентиевич
Мелетий,Мелетиевич
Меркул,Меркулович
Меркурий,Меркуриевич
Мефодий,Мефодиевич
Милий,Милиевич
Мина,Минич
Минай,Минаевич
Мирон,Миронович
Митрофан,Митрофанович
Митрофаний,Митрофаниевич
Михаил,Михаилович
Михей,Михеевич
Модест,Модестович
Моисей,Моисеевич
Мокей,Мокеевич
Мокий,Мокиевич
Мстислав,Мстиславович
Назар,Назарович
Назарий,Назариевич
Наркис,Наркисович
Наум,Наумович
Нестер,Нестерович
Нестор,Несторович
Нефёд,Нефёдович
Никандр,Никандрович
Никанор,Никанорович
Никита,Никитич
Никифор,Никифорович
Никодим,Никодимович
Николай,Николаевич
Никон,Никонович
Нил,Нилович
Нифонт,Нифонтович
Олег,Олегович
Олимпий,Олимпиевич
Онисим,Онисимович
Онуфрий,Онуфриевич
Орест,Орестович
Осип,Осипович
Оскар,Оскарович
Остап,Остапович
Павел,Павлович
Павлин,Павлинович
Палладий,Палладиевич
Памфил,Памфилович
Памфилий,Памфильевич
Панкрат,Панкратович
Панкратий,Панкратиевич
Пантелей,Пантелеевич
Пантелеймон,Пантелеймонович
Панфил,Панфилович
Парамон,Парамонович
Пармен,Парменович
Пармён,Пармёнович
Парфён,Парфёнович
Парфений,Парфениевич
Парфентий,Парфентьевич
Патрикей,Патрикеевич
Патрикий,Патрикиевич
Пафнутий,Пафнутиевич
Пахом,Пахомович
Пахомий,Пахомиевич
Пётр,Петрович
Пимен,Пименович
Платон,Платонович
Полиевкт,Полиевктович
Полиект,Полиектович
Поликарп,Поликарпович
Поликарпий,Поликарпиевич
Порфир,Порфирович
Порфирий,Порфириевич
Потап,Потапович
Пров,Прович
Прокл,Проклович
Прокоп,Прокопович
Прокопий,Прокопиевич
Прокофий,Прокофьевич
Протас,Протасович
Протасий,Протасиевич
Прохор,Прохорович
Радий,Радиевич
Рафаил,Рафаилович
Роберт,Робертович
Родион,Родионович
Роман,Романович
Ростислав,Ростиславович
Рудольф,Рудольфович
Рюрик,Рюрикович
Савва,Саввич
Савватей,Савватеевич
Савватий,Савватиевич
Савёл,Савёлович
Савелий,Савелиевич
Самойла,Самойлович
Самсон,Самсонович
Самуил,Самуилович
Святослав,Святославович
Севастьян,Севастьянович
Северьян,Северьянович
Селиван,Селиванович
Селивёрст,Селивёрстович
Селифан,Селифанович
Семён,Семёнович
Серафим,Серафимович
Сергей,Сергеевич
Сидор,Сидорович
Силантий,Силантиевич
Сильвестр,Сильвестрович
Симон,Симонович
Созон,Созонович
Созонт,Созонтович
Созонтий,Созонтьевич
Соломон,Соломонович
